method,alpha,danger_k,danger_n,danger_rate,danger_ucb95,safe_neg,neg_n,coverage_neg
Current risk,0.05,2,192,0.010416666666666666,0.03242568486834308,717,6954,0.10310612597066436
Current risk,0.1,14,192,0.07291666666666667,0.1116431930938697,4872,6954,0.7006039689387403
Current risk,0.15,20,192,0.10416666666666667,0.147759916339339,5836,6954,0.8392292205924647
Current risk,0.2,27,192,0.140625,0.1886733599715491,6212,6954,0.8932988208225482
Logistic snapshot,0.05,5,192,0.026041666666666668,0.053972267025076126,2973,6954,0.4275237273511648
Logistic snapshot,0.1,14,192,0.07291666666666667,0.1116431930938697,5005,6954,0.7197296519988495
Logistic snapshot,0.15,22,192,0.11458333333333333,0.159562188577056,5687,6954,0.8178027034800115
Logistic snapshot,0.2,28,192,0.14583333333333334,0.19443666911399218,6154,6954,0.8849582973828013
CatBoost snapshot,0.05,5,192,0.026041666666666668,0.053972267025076126,3934,6954,0.5657175726200748
CatBoost snapshot,0.1,12,192,0.0625,0.09929771751247034,5080,6954,0.730514811619212
CatBoost snapshot,0.15,19,192,0.09895833333333333,0.14181946999871642,5719,6954,0.8224043715846995
CatBoost snapshot,0.2,28,192,0.14583333333333334,0.19443666911399218,6222,6954,0.8947368421052632
CatBoost dynamic,0.05,5,192,0.026041666666666668,0.053972267025076126,3567,6954,0.5129421915444349
CatBoost dynamic,0.1,13,192,0.06770833333333333,0.10549382850926546,5145,6954,0.7398619499568594
CatBoost dynamic,0.15,18,192,0.09375,0.13585047197827646,5868,6954,0.8438308886971527
CatBoost dynamic,0.2,28,192,0.14583333333333334,0.19443666911399218,6296,6954,0.905378199597354
