grouping,group,baseline_events,baseline_positive_events,baseline_negative_events,baseline_danger_k,baseline_danger_rate,baseline_danger_ucb,baseline_safe_negative,baseline_safe_negative_rate,candidate_events,candidate_positive_events,candidate_negative_events,candidate_danger_k,candidate_danger_rate,candidate_danger_ucb,candidate_safe_negative,candidate_safe_negative_rate,coverage_gained_events,coverage_lost_events,coverage_net_events,coverage_delta,coverage_delta_ci_low,coverage_delta_ci_high,coverage_mcnemar_p,danger_gained_events,danger_lost_events,danger_net_events,danger_mcnemar_p,both_safe_negative_events,median_timing_delta_days
mission_id,1,1063,51,1012,1,0.0196078431372549,0.08967153829142846,721,0.7124505928853755,1063,51,1012,1,0.0196078431372549,0.08967153829142846,750,0.741106719367589,45,16,29,0.02865612648221344,0.01383399209486166,0.044466403162055336,0.0002642786618272985,0,0,0,1.0,705,0.0
mission_id,2,836,31,805,1,0.03225806451612903,0.14409039131834475,636,0.7900621118012422,836,31,805,0,0.0,0.0921140599473237,668,0.8298136645962733,57,25,32,0.03975155279503106,0.017391304347826087,0.062111801242236024,0.0005347214913281793,0,1,-1,1.0,611,0.0
mission_id,3,254,15,239,0,0.0,0.18103627252208462,174,0.7280334728033473,254,15,239,0,0.0,0.18103627252208462,173,0.7238493723849372,10,11,-1,-0.0041841004184100415,-0.04184100418410042,0.03347280334728033,1.0,0,0,0,1.0,163,0.0
mission_id,4,158,4,154,0,0.0,0.527129195498412,135,0.8766233766233766,158,4,154,0,0.0,0.527129195498412,128,0.8311688311688312,2,9,-7,-0.045454545454545456,-0.09090909090909091,-0.006493506493506494,0.0654296875,0,0,0,1.0,126,0.0
mission_id,5,1236,17,1219,3,0.17647058823529413,0.3956414334448209,888,0.7284659557013946,1236,17,1219,4,0.23529411764705882,0.4605493598898329,942,0.7727645611156686,86,32,54,0.044298605414273995,0.027071369975389663,0.06152584085315833,6.904732386830466e-07,1,0,1,1.0,856,0.0
mission_id,6,614,13,601,1,0.07692307692307693,0.31633976476272974,286,0.47587354409317806,614,13,601,2,0.15384615384615385,0.41009860483381616,307,0.5108153078202995,48,27,21,0.03494176372712146,0.0066555740432612314,0.0632279534109817,0.02029840699010744,2,1,1,1.0,259,0.0
mission_id,7,1018,6,1012,1,0.16666666666666666,0.5818034092520259,783,0.7737154150197628,1018,6,1012,1,0.16666666666666666,0.5818034092520259,790,0.7806324110671937,31,24,7,0.00691699604743083,-0.00691699604743083,0.021739130434782608,0.4187541882690154,0,0,0,1.0,759,0.0
mission_id,9,243,5,238,0,0.0,0.450719728346941,190,0.7983193277310925,243,5,238,0,0.0,0.450719728346941,196,0.8235294117647058,17,11,6,0.025210084033613446,-0.01680672268907563,0.06722689075630252,0.34492845088243484,0,0,0,1.0,179,0.0
mission_id,10,82,5,77,0,0.0,0.450719728346941,41,0.5324675324675324,82,5,77,0,0.0,0.450719728346941,45,0.5844155844155844,5,1,4,0.05194805194805195,0.0,0.11688311688311688,0.21875,0,0,0,1.0,40,0.0
mission_id,13,5,2,3,0,0.0,0.776393202250021,1,0.3333333333333333,5,2,3,0,0.0,0.776393202250021,1,0.3333333333333333,0,0,0,0.0,0.0,0.0,1.0,0,0,0,1.0,1,0.0
mission_id,14,6,1,5,0,0.0,0.95,4,0.8,6,1,5,0,0.0,0.95,4,0.8,0,0,0,0.0,0.0,0.0,1.0,0,0,0,1.0,4,0.0
mission_id,15,982,13,969,2,0.15384615384615385,0.41009860483381616,802,0.8276573787409701,982,13,969,3,0.23076923076923078,0.49464973015136554,825,0.8513931888544891,37,14,23,0.023735810113519093,0.009287925696594427,0.038183694530443756,0.0017691971837869858,1,0,1,1.0,788,0.0
mission_id,16,67,5,62,1,0.2,0.6574083180011386,24,0.3870967741935484,67,5,62,0,0.0,0.450719728346941,24,0.3870967741935484,5,5,0,0.0,-0.0967741935483871,0.0967741935483871,1.0,0,1,-1,1.0,19,0.0
mission_id,18,73,11,62,1,0.09090909090909091,0.3643594892472425,53,0.8548387096774194,73,11,62,0,0.0,0.2384041903808526,53,0.8548387096774194,2,2,0,0.0,-0.06451612903225806,0.06451612903225806,1.0,0,1,-1,1.0,51,0.0
mission_id,19,391,4,387,0,0.0,0.527129195498412,339,0.875968992248062,391,4,387,0,0.0,0.527129195498412,333,0.8604651162790697,7,13,-6,-0.015503875968992248,-0.03875968992248062,0.007751937984496124,0.26317596435546875,0,0,0,1.0,326,0.0
mission_id,20,45,6,39,0,0.0,0.39303776899708265,6,0.15384615384615385,45,6,39,0,0.0,0.39303776899708265,10,0.2564102564102564,5,1,4,0.10256410256410256,0.0,0.23076923076923078,0.21875,0,0,0,1.0,5,0.0
mission_id,22,26,2,24,1,0.5,0.9746794344808963,13,0.5416666666666666,26,2,24,1,0.5,0.9746794344808963,13,0.5416666666666666,2,2,0,0.0,-0.16666666666666666,0.16666666666666666,1.0,0,0,0,1.0,11,0.0
mission_id,23,23,1,22,0,0.0,0.95,8,0.36363636363636365,23,1,22,0,0.0,0.95,10,0.45454545454545453,3,1,2,0.09090909090909091,-0.09090909090909091,0.2727272727272727,0.625,0,0,0,1.0,7,0.0
mission_id,24,24,0,24,0,,,13,0.5416666666666666,24,0,24,0,,,14,0.5833333333333334,1,0,1,0.041666666666666664,0.0,0.125,1.0,0,0,0,1.0,13,0.0
history_group,1-4,2023,93,1930,1,0.010752688172043012,0.049993978387988317,649,0.3362694300518135,2023,93,1930,1,0.010752688172043012,0.049993978387988317,731,0.3787564766839378,127,45,82,0.04248704663212435,0.029533678756476684,0.05595854922279793,3.026612327778199e-10,0,0,0,1.0,604,0.0
history_group,5-10,1642,62,1580,8,0.12903225806451613,0.22079276463175415,1305,0.8259493670886076,1642,62,1580,8,0.12903225806451613,0.22079276463175415,1345,0.8512658227848101,108,68,40,0.02531645569620253,0.008860759493670886,0.04113924050632911,0.0031719670751109356,3,3,0,1.0,1237,0.0
history_group,11+,3481,37,3444,3,0.08108108108108109,0.19642893982446616,3163,0.9184088269454123,3481,37,3444,3,0.08108108108108109,0.19642893982446616,3210,0.9320557491289199,128,81,47,0.01364692218350755,0.005516840882694541,0.02177700348432056,0.0014047781081729287,1,1,0,1.0,3082,0.0
missingness_group,none,3814,88,3726,8,0.09090909090909091,0.15805433990866904,2920,0.7836822329575953,3814,88,3726,8,0.09090909090909091,0.15805433990866904,3005,0.8064949006977993,185,100,85,0.022812667740203973,0.013955984970477724,0.03166935050993022,5.402671058641193e-07,2,2,0,1.0,2820,0.0
missingness_group,low,2443,77,2366,4,0.05194805194805195,0.11494169623771958,1737,0.7341504649196957,2443,77,2366,4,0.05194805194805195,0.11494169623771958,1808,0.7641589180050719,139,68,71,0.030008453085376162,0.018174133558748945,0.04184277261200338,9.02938834094225e-07,2,2,0,1.0,1669,0.0
missingness_group,high,889,27,862,0,0.0,0.10501923017634426,460,0.5336426914153132,889,27,862,0,0.0,0.10501923017634426,473,0.548723897911833,39,26,13,0.015081206496519721,-0.0034802784222737818,0.033642691415313224,0.1360323948778921,0,0,0,1.0,434,0.0
fold,0,1430,39,1391,5,0.1282051282051282,0.2508533866712811,1071,0.7699496764917325,1430,39,1391,3,0.07692307692307693,0.1869795051004589,1041,0.7483824586628325,32,62,-30,-0.021567217828900073,-0.03522645578720345,-0.007907979870596693,0.002587308956921308,1,3,-2,0.625,1009,0.0
fold,1,1429,38,1391,2,0.05263157894736842,0.15655730158942688,1041,0.7483824586628325,1429,38,1391,4,0.10526315789473684,0.22489858159282952,1138,0.818116462976276,110,13,97,0.06973400431344356,0.055355859094176854,0.08483105679367361,2.6124651194145632e-20,2,0,2,0.5,1028,0.0
fold,2,1429,38,1391,0,0.0,0.07580765168296455,933,0.6707404744787923,1429,38,1391,0,0.0,0.07580765168296455,997,0.7167505391804457,94,30,64,0.04601006470165349,0.030913012221423435,0.06110711718188354,7.115311965220124e-09,0,0,0,1.0,903,0.0
fold,3,1429,38,1391,2,0.05263157894736842,0.15655730158942688,1034,0.7433501078360891,1429,38,1391,3,0.07894736842105263,0.19158811127255088,1109,0.7972681524083394,89,14,75,0.05391804457225018,0.040258806613946804,0.0682961897915169,1.6027765403567583e-14,1,0,1,1.0,1020,0.0
fold,4,1429,39,1390,3,0.07692307692307693,0.1869795051004589,1038,0.7467625899280576,1429,39,1390,2,0.05128205128205128,0.15276510530744303,1001,0.7201438848920864,38,75,-37,-0.026618705035971222,-0.041726618705035974,-0.011510791366906475,0.0006407681883480873,0,1,-1,1.0,963,0.0
