method,alpha,threshold,danger_k,danger_n,ucb95,safe_neg,n_neg,coverage_neg
Current risk,0.05,,,192,,0,6954,0.0
Current risk,0.1,-12.580870692258024,12.0,192,0.09929771751247034,5045,6954,0.7254817371297095
Current risk,0.15,-8.492413960236991,20.0,192,0.147759916339339,5908,6954,0.8495829738280126
Current risk,0.2,-7.619426996933112,28.0,192,0.19443666911399218,6243,6954,0.8977566867989646
Logistic snapshot,0.05,0.0034663116929601425,4.0,192,0.04703755834755209,2861,6954,0.41141788898475695
Logistic snapshot,0.1,0.12451577834758258,12.0,192,0.09929771751247034,5151,6954,0.7407247627264884
Logistic snapshot,0.15,0.25881631077439765,20.0,192,0.147759916339339,5773,6954,0.8301696865113604
Logistic snapshot,0.2,0.3968462711693422,28.0,192,0.19443666911399218,6208,6954,0.8927236123094622
CatBoost snapshot,0.05,0.0007367540456485104,4.0,192,0.04703755834755209,3903,6954,0.5612597066436583
CatBoost snapshot,0.1,0.002708518459080864,12.0,192,0.09929771751247034,5226,6954,0.7515099223468508
CatBoost snapshot,0.15,0.006738303945776467,20.0,192,0.147759916339339,5882,6954,0.8458441184929537
CatBoost snapshot,0.2,0.012552638376029766,28.0,192,0.19443666911399218,6235,6954,0.8966062697727927
CatBoost dynamic,0.05,0.0004418083474045769,4.0,192,0.04703755834755209,3231,6954,0.4646246764452114
CatBoost dynamic,0.1,0.0030625986966265344,12.0,192,0.09929771751247034,5265,6954,0.7571182053494392
CatBoost dynamic,0.15,0.007881164203151898,20.0,192,0.147759916339339,5958,6954,0.8567730802415876
CatBoost dynamic,0.2,0.015514875028469252,28.0,192,0.19443666911399218,6328,6954,0.909979867702042
