method,calibration_mode,alpha,danger_k,danger_n,danger_rate,danger_ucb95,safe_negative,negative_n,safe_negative_rate,rank_min,rank_max,cal_positive_min,cal_positive_max
current_risk,marginal,0.05,9,192,0.046875,0.08037106821239434,4159,6954,0.598073051481162,7,7,153,154
current_risk,marginal,0.1,18,192,0.09375,0.13585047197827646,5646,6954,0.8119068162208801,15,15,153,154
current_risk,marginal,0.15,28,192,0.14583333333333334,0.19443666911399218,6213,6954,0.8934426229508197,23,23,153,154
current_risk,marginal,0.2,38,192,0.19791666666666666,0.25120459899433867,6570,6954,0.9447799827437446,30,31,153,154
current_risk,pac,0.05,2,192,0.010416666666666666,0.03242568486834308,717,6954,0.10310612597066436,4,4,153,154
current_risk,pac,0.1,14,192,0.07291666666666667,0.1116431930938697,4873,6954,0.7007477710670118,9,10,153,154
current_risk,pac,0.15,20,192,0.10416666666666667,0.147759916339339,5837,6954,0.8393730227207362,16,16,153,154
current_risk,pac,0.2,28,192,0.14583333333333334,0.19443666911399218,6213,6954,0.8934426229508197,23,23,153,154
logistic_snapshot,marginal,0.05,8,192,0.041666666666666664,0.0739228680977254,4175,6954,0.6003738855335059,7,7,153,154
logistic_snapshot,marginal,0.1,19,192,0.09895833333333333,0.14181946999871642,5571,6954,0.8011216566005177,15,15,153,154
logistic_snapshot,marginal,0.15,28,192,0.14583333333333334,0.19443666911399218,6154,6954,0.8849582973828013,23,23,153,154
logistic_snapshot,marginal,0.2,40,192,0.20833333333333334,0.2623959882229839,6405,6954,0.9210526315789473,30,31,153,154
logistic_snapshot,pac,0.05,5,192,0.026041666666666668,0.053972267025076126,2974,6954,0.4276675294794363,4,4,153,154
logistic_snapshot,pac,0.1,14,192,0.07291666666666667,0.1116431930938697,5005,6954,0.7197296519988495,9,10,153,154
logistic_snapshot,pac,0.15,22,192,0.11458333333333333,0.159562188577056,5690,6954,0.818234109864826,16,16,153,154
logistic_snapshot,pac,0.2,28,192,0.14583333333333334,0.19443666911399218,6154,6954,0.8849582973828013,23,23,153,154
catboost_snapshot,marginal,0.05,9,192,0.046875,0.08037106821239434,4724,6954,0.6793212539545586,7,7,153,154
catboost_snapshot,marginal,0.1,18,192,0.09375,0.13585047197827646,5632,6954,0.8098935864250791,15,15,153,154
catboost_snapshot,marginal,0.15,28,192,0.14583333333333334,0.19443666911399218,6224,6954,0.8950244463618061,23,23,153,154
catboost_snapshot,marginal,0.2,37,192,0.19270833333333334,0.2455905323297525,6470,6954,0.9303997699165948,30,31,153,154
catboost_snapshot,pac,0.05,5,192,0.026041666666666668,0.053972267025076126,3934,6954,0.5657175726200748,4,4,153,154
catboost_snapshot,pac,0.1,12,192,0.0625,0.09929771751247034,5080,6954,0.730514811619212,9,10,153,154
catboost_snapshot,pac,0.15,19,192,0.09895833333333333,0.14181946999871642,5721,6954,0.8226919758412424,16,16,153,154
catboost_snapshot,pac,0.2,28,192,0.14583333333333334,0.19443666911399218,6224,6954,0.8950244463618061,23,23,153,154
catboost_dynamic,marginal,0.05,9,192,0.046875,0.08037106821239434,4772,6954,0.6862237561115905,7,7,153,154
catboost_dynamic,marginal,0.1,18,192,0.09375,0.13585047197827646,5753,6954,0.8272936439459304,15,15,153,154
catboost_dynamic,marginal,0.15,28,192,0.14583333333333334,0.19443666911399218,6298,6954,0.9056658038538971,23,23,153,154
catboost_dynamic,marginal,0.2,39,192,0.203125,0.25680630205282035,6604,6954,0.9496692551049756,30,31,153,154
catboost_dynamic,pac,0.05,5,192,0.026041666666666668,0.053972267025076126,3570,6954,0.5133735979292493,4,4,153,154
catboost_dynamic,pac,0.1,13,192,0.06770833333333333,0.10549382850926546,5145,6954,0.7398619499568594,9,10,153,154
catboost_dynamic,pac,0.15,18,192,0.09375,0.13585047197827646,5871,6954,0.8442622950819673,16,16,153,154
catboost_dynamic,pac,0.2,28,192,0.14583333333333334,0.19443666911399218,6298,6954,0.9056658038538971,23,23,153,154
