method,mode,alpha,repeats,calibration_positives,mean_danger_rate,median_danger_rate,danger_rate_q95,mean_safe_negative_rate,median_safe_negative_rate,safe_negative_rate_q05,safe_negative_rate_q95
catboost_dynamic,marginal,0.05,250,96.0,0.041041666666666664,0.03645833333333333,0.09375,0.6329341386252516,0.6548748921484038,0.4323986194995686,0.7615041702617198
catboost_dynamic,marginal,0.1,250,96.0,0.09108333333333332,0.08333333333333333,0.16666666666666666,0.8193212539545586,0.8352027610008628,0.7483318953120507,0.8874460742018982
catboost_dynamic,pac,0.05,250,96.0,0.020583333333333332,0.010416666666666666,0.0625,0.4419350014380213,0.41731377624388843,0.32326718435432844,0.690696002300834
catboost_dynamic,pac,0.1,250,96.0,0.052208333333333336,0.052083333333333336,0.11458333333333333,0.6960552200172563,0.7030486051193557,0.6089876330169687,0.8230946218004026
catboost_snapshot,marginal,0.05,250,96.0,0.04133333333333333,0.03125,0.09375,0.6462996836353179,0.6446649410411274,0.5393730227207363,0.7479292493528904
catboost_snapshot,marginal,0.1,250,96.0,0.092,0.08333333333333333,0.16666666666666666,0.8024193270060397,0.7942191544434858,0.731765890135174,0.883678458441185
catboost_snapshot,pac,0.05,250,96.0,0.020708333333333332,0.020833333333333332,0.0625,0.5114857635893011,0.5139488064423354,0.4019125683060109,0.6593902789761287
catboost_snapshot,pac,0.1,250,96.0,0.052333333333333336,0.052083333333333336,0.11458333333333333,0.6933966062697727,0.6960023008340523,0.5923497267759563,0.7834339948231234
current_risk,marginal,0.05,250,96.0,0.03779166666666666,0.03125,0.09375,0.4821190681622088,0.5660051768766178,0.0,0.7260857060684498
current_risk,marginal,0.1,250,96.0,0.08966666666666667,0.08333333333333333,0.17708333333333334,0.7916778832326719,0.7871728501581823,0.7194276675294794,0.8736410698878344
current_risk,pac,0.05,250,96.0,0.006916666666666667,0.0,0.05781249999999982,0.06755823986194996,0.0,0.0,0.573799252228933
current_risk,pac,0.1,250,96.0,0.04833333333333333,0.041666666666666664,0.11458333333333333,0.6110762151279839,0.590882945067587,0.5126402070750647,0.7591314351452401
logistic_snapshot,marginal,0.05,250,96.0,0.03933333333333334,0.03125,0.09375,0.5591245326430831,0.5700316364682197,0.40018694276675293,0.7272792637331031
logistic_snapshot,marginal,0.1,250,96.0,0.09054166666666667,0.08333333333333333,0.17708333333333334,0.7857152717860224,0.7838654012079379,0.7077940753523152,0.8661345987920621
logistic_snapshot,pac,0.05,250,96.0,0.01879166666666667,0.010416666666666666,0.05781249999999982,0.3439045153868277,0.3613747483462755,0.15457290767903364,0.5794506758700028
logistic_snapshot,pac,0.1,250,96.0,0.0495,0.041666666666666664,0.11458333333333333,0.6335565142364108,0.6345987920621226,0.4745182628702905,0.7610583836640782
