method,fold,danger_k,danger_n,danger_rate,danger_ucb,safe_negative,negative_n,safe_negative_rate,median_first_safe_tca_days,coverage_gained_events,coverage_lost_events,coverage_net_events,coverage_delta,coverage_delta_ci_low,coverage_delta_ci_high,coverage_mcnemar_p,danger_gained_events,danger_lost_events,danger_net_events,danger_mcnemar_p
catboost_snapshot,0,5,39,0.1282051282051282,0.2508533866712811,1071,1391,0.7699496764917325,5.391759814814815,0,0,0,0.0,0.0,0.0,1.0,0,0,0,1.0
catboost_snapshot,1,2,38,0.05263157894736842,0.15655730158942688,1041,1391,0.7483824586628325,5.0003859837962965,0,0,0,0.0,0.0,0.0,1.0,0,0,0,1.0
catboost_snapshot,2,0,38,0.0,0.07580765168296455,933,1391,0.6707404744787923,4.583989525462963,0,0,0,0.0,0.0,0.0,1.0,0,0,0,1.0
catboost_snapshot,3,2,38,0.05263157894736842,0.15655730158942688,1034,1391,0.7433501078360891,4.9360118576388885,0,0,0,0.0,0.0,0.0,1.0,0,0,0,1.0
catboost_snapshot,4,3,39,0.07692307692307693,0.1869795051004589,1038,1390,0.7467625899280576,5.104110370370371,0,0,0,0.0,0.0,0.0,1.0,0,0,0,1.0
catboost_tail_aligned,0,3,39,0.07692307692307693,0.1869795051004589,1041,1391,0.7483824586628325,5.447627476851852,32,62,-30,-0.021567217828900073,-0.03522645578720345,-0.007907979870596693,0.002587308956921308,1,3,-2,0.625
catboost_tail_aligned,1,4,38,0.10526315789473684,0.22489858159282952,1138,1391,0.818116462976276,5.656354803240742,110,13,97,0.06973400431344356,0.054636951833213515,0.08483105679367361,2.6124651194145632e-20,2,0,2,0.5
catboost_tail_aligned,2,0,38,0.0,0.07580765168296455,997,1391,0.7167505391804457,4.957697592592593,94,30,64,0.04601006470165349,0.030913012221423435,0.06182602444284687,7.115311965220124e-09,0,0,0,1.0
catboost_tail_aligned,3,3,38,0.07894736842105263,0.19158811127255088,1109,1391,0.7972681524083394,5.406734479166667,89,14,75,0.05391804457225018,0.040258806613946804,0.0682961897915169,1.6027765403567583e-14,1,0,1,1.0
catboost_tail_aligned,4,2,39,0.05128205128205128,0.15276510530744303,1001,1390,0.7201438848920864,5.063387789351851,38,75,-37,-0.026618705035971222,-0.041726618705035974,-0.011510791366906475,0.0006407681883480873,0,1,-1,1.0
arithmetic_mean,0,4,39,0.10256410256410256,0.2195230683231269,1095,1391,0.7872034507548527,5.579341319444445,24,0,24,0.017253774263120056,0.010783608914450037,0.024442846872753415,1.1920928955078125e-07,0,1,-1,1.0
arithmetic_mean,1,4,38,0.10526315789473684,0.22489858159282952,1115,1391,0.8015815959741194,5.541064594907407,75,1,74,0.053199137311286844,0.041696621135873475,0.06542056074766354,2.0381730293306602e-21,2,0,2,0.5
arithmetic_mean,2,0,38,0.0,0.07580765168296455,998,1391,0.7174694464414091,4.961018813657407,69,4,65,0.04672897196261682,0.03522645578720345,0.05895039539899353,2.4422670374772693e-16,0,0,0,1.0
arithmetic_mean,3,3,38,0.07894736842105263,0.19158811127255088,1101,1391,0.7915168943206327,5.355589143518519,68,1,67,0.04816678648454349,0.037383177570093455,0.05966930265995687,2.371692252312041e-19,1,0,1,1.0
arithmetic_mean,4,2,39,0.05128205128205128,0.15276510530744303,1058,1390,0.7611510791366907,5.199829994212963,26,6,20,0.014388489208633094,0.006474820143884892,0.022302158273381296,0.0005350527353584766,0,1,-1,1.0
geometric_mean,0,4,39,0.10256410256410256,0.2195230683231269,1078,1391,0.7749820273184759,5.411852893518518,23,16,7,0.0050323508267433505,-0.0035945363048166786,0.013659237958303379,0.3367836351899315,0,1,-1,1.0
geometric_mean,1,4,38,0.10526315789473684,0.22489858159282952,1121,1391,0.8058950395398994,5.489993587962964,82,2,80,0.05751258087706686,0.04529115744069015,0.0704529115744069,3.6923274592835773e-22,2,0,2,0.5
geometric_mean,2,0,38,0.0,0.07580765168296455,998,1391,0.7174694464414091,4.984789033564814,73,8,65,0.04672897196261682,0.03450754852624011,0.05966930265995687,2.977302970952647e-14,0,0,0,1.0
geometric_mean,3,3,38,0.07894736842105263,0.19158811127255088,1074,1391,0.7721063982746226,5.222518356481482,50,10,40,0.02875629043853343,0.017972681524083392,0.039539899352983465,1.6163814566157175e-07,1,0,1,1.0
geometric_mean,4,2,39,0.05128205128205128,0.15276510530744303,1049,1390,0.7546762589928058,5.196866909722223,28,17,11,0.007913669064748202,-0.0014388489208633094,0.017266187050359712,0.1351564508456704,0,1,-1,1.0
maximum,0,6,39,0.15384615384615385,0.28123607989900634,1099,1391,0.790079079798706,5.592495,28,0,28,0.020129403306973402,0.012940330697340043,0.028037383177570093,7.450580596923828e-09,1,0,1,1.0
maximum,1,3,38,0.07894736842105263,0.19158811127255088,1097,1391,0.7886412652767792,5.447367106481482,57,1,56,0.040258806613946804,0.0301941049604601,0.051042415528396834,4.0939474033052647e-16,1,0,1,1.0
maximum,2,0,38,0.0,0.07580765168296455,992,1391,0.7131560028756291,4.906032337962963,62,3,59,0.04241552839683681,0.03163191948238677,0.05391804457225018,2.4842324378160363e-15,0,0,0,1.0
maximum,3,2,38,0.05263157894736842,0.15655730158942688,1062,1391,0.7634795111430626,5.144037118055557,33,5,28,0.020129403306973402,0.011502516175413372,0.02875629043853343,4.255962267052382e-06,0,0,0,1.0
maximum,4,2,39,0.05128205128205128,0.15276510530744303,1060,1390,0.762589928057554,5.22928884837963,24,2,22,0.015827338129496403,0.008633093525179856,0.02302158273381295,1.049041748046875e-05,0,1,-1,1.0
minimum,0,3,39,0.07692307692307693,0.1869795051004589,1051,1391,0.7555715312724659,5.435137685185184,32,52,-20,-0.014378145219266714,-0.027318475916606758,-0.0014378145219266715,0.03752953363441315,1,3,-2,0.625
