grouping,group,events,positive_events,negative_events,danger_k,danger_rate,danger_ucb,safe_negative,safe_negative_rate
mission_id,1,1063,51,1012,2,0.0392156862745098,0.11834909903946435,743,0.7341897233201581
mission_id,2,836,31,805,1,0.03225806451612903,0.14409039131834475,539,0.6695652173913044
mission_id,3,254,15,239,0,0.0,0.18103627252208462,159,0.6652719665271967
mission_id,4,158,4,154,0,0.0,0.527129195498412,131,0.8506493506493507
mission_id,5,1236,17,1219,1,0.058823529411764705,0.2501244518664762,826,0.6776045939294504
mission_id,6,614,13,601,2,0.15384615384615385,0.41009860483381616,358,0.5956738768718802
mission_id,7,1018,6,1012,0,0.0,0.39303776899708265,830,0.8201581027667985
mission_id,9,243,5,238,0,0.0,0.450719728346941,175,0.7352941176470589
mission_id,10,82,5,77,1,0.2,0.6574083180011386,57,0.7402597402597403
mission_id,13,5,2,3,0,0.0,0.776393202250021,1,0.3333333333333333
mission_id,14,6,1,5,0,0.0,0.95,3,0.6
mission_id,15,982,13,969,3,0.23076923076923078,0.49464973015136554,819,0.8452012383900929
mission_id,16,67,5,62,0,0.0,0.450719728346941,18,0.2903225806451613
mission_id,18,73,11,62,1,0.09090909090909091,0.3643594892472425,50,0.8064516129032258
mission_id,19,391,4,387,0,0.0,0.527129195498412,329,0.8501291989664083
mission_id,20,45,6,39,0,0.0,0.39303776899708265,4,0.10256410256410256
mission_id,22,26,2,24,1,0.5,0.9746794344808963,13,0.5416666666666666
mission_id,23,23,1,22,0,0.0,0.95,10,0.45454545454545453
mission_id,24,24,0,24,0,,,15,0.625
history_group,1-4,2023,93,1930,5,0.053763440860215055,0.10971880516844829,1077,0.5580310880829016
history_group,5-10,1642,62,1580,6,0.0967741935483871,0.1820918694643961,1137,0.7196202531645569
history_group,11+,3481,37,3444,1,0.02702702702702703,0.12190489818825372,2866,0.832171893147503
missingness_group,none,3814,88,3726,7,0.07954545454545454,0.14421830025218477,2828,0.758990874932904
missingness_group,low,2443,77,2366,4,0.05194805194805195,0.11494169623771958,1649,0.6969568892645815
missingness_group,high,889,27,862,1,0.037037037037037035,0.16397439474530717,603,0.6995359628770301
